Origen,Destino,Tipo_Origen,Tipo_Destino,Latitud_Origen,Longitud_Origen,Latitud_Destino,Longitud_Destino,Tiempo_Recorrido,Distancia_km,Costo
Calle Berlín,Av. República de Panamá,Centro de Distribución,Punto de Entrega,-11.935772859420016,-76.73498181477073,-12.159495525519041,-76.88661398385217,118:08,31.73,71.17
Calle Enrique Villar,Av. Dueñas,Centro de Distribución,Punto de Entrega,-11.794635720720464,-77.10579736335822,-11.739309345844966,-77.10747990722784,91:12,24.04,47.08
Calle Belén,Calle Lord Cochrane,Punto de Entrega,Punto de Entrega,-12.13312329986791,-77.2264792542296,-12.018884810891597,-76.80304428384493,27:48,11.65,39.16
Av. La Molina,Calle Dos de Mayo,Punto de Entrega,Centro de Distribución,-11.741822149496342,-77.02181786916988,-12.258797423915203,-76.75982597143827,95:55,64.82,63.01
Av. Separadora Industrial,Av. Velasco Astete,Centro de Distribución,Punto de Entrega,-12.343118949900406,-76.88792742844586,-12.187579917629629,-77.18796778065236,93:20,45.42,68.9
Calle Conde de la Vega,Av. Enrique Meiggs,Punto de Entrega,Punto de Entrega,-12.293607008177794,-76.7153801598607,-11.909961379909609,-76.97856291118038,35:52,27.83,52.88
Calle Medrano Silva,Av. Colonial,Punto de Entrega,Centro de Distribución,-12.351904350652411,-77.18682063845559,-12.37453802529516,-77.2567414594984,110:18,63.17,115.52
Calle Conde de la Vega,Calle Miguel Aljovín,Punto de Entrega,Centro de Distribución,-12.016024268936178,-77.15050427582047,-11.767084604025811,-76.99341578849777,117:04,35.82,89.08
Calle Sánchez Cerro,Av. Iquitos,Centro de Distribución,Punto de Entrega,-11.864661243624466,-76.72812786666142,-12.112783960278685,-77.02338656488983,64:23,44.77,94.04
Calle Berlín,Calle Gerardo Unger,Centro de Distribución,Punto de Entrega,-12.26999278793434,-76.7310602151496,-11.797487871488174,-76.85951210471157,61:22,15.87,31.81
Calle José Galvez,Calle San Francisco,Punto de Entrega,Punto de Entrega,-12.236141844725818,-76.7919259589389,-12.349615246313125,-77.1386745531455,58:15,11.65,43.26
Av. Arequipa,Av. Palmeras,Punto de Entrega,Centro de Distribución,-11.788966782977736,-76.75129600246768,-12.073565584440423,-77.00500984276425,87:04,35.04,70.91
Av. Tingo María,Av. San Luis,Centro de Distribución,Punto de Entrega,-11.716545587362997,-76.92079378912925,-12.266801683917334,-77.02004276467041,64:13,16.5,57.85
Calle Flora Tristán,Calle Sucre,Punto de Entrega,Centro de Distribución,-11.929087523723936,-77.25762690018036,-12.164884359056295,-77.27645026412861,16:06,5.69,19.55
Calle Hermanos Catari,Calle Domingo Orué,Centro de Distribución,Punto de Entrega,-11.94324921329369,-77.15655585884075,-12.280218949275003,-77.2054550672287,91:45,37.44,111.88
Calle Rodríguez de Mendoza,Calle San Francisco,Punto de Entrega,Punto de Entrega,-11.750767525822582,-77.17952290859789,-11.795647205849157,-77.23718084107063,84:15,63.67,55.14
Calle Libertad,Av. Colonial,Punto de Entrega,Centro de Distribución,-12.357070513991525,-76.9110936173332,-12.174491450363861,-76.81285254232822,20:48,10.9,20.53
Calle Miguel Grau,Calle San Francisco,Centro de Distribución,Punto de Entrega,-12.37239120173604,-76.99906015479425,-12.42046668876596,-76.72495607569198,42:45,26.92,47.22
Av. Caminos del Inca,Calle Gerardo Unger,Centro de Distribución,Punto de Entrega,-11.860904405138303,-77.03629052721429,-12.498846278835734,-76.80270872435447,119:21,99.44,169.36
Av. Caminos del Inca,Av. Víctor Larco Herrera,Centro de Distribución,Punto de Entrega,-11.985492116629576,-77.15140073532467,-12.316031776821088,-76.83618609538354,9:46,6.73,12.21
Av. Colonial,Av. Arequipa,Punto de Entrega,Punto de Entrega,-12.392577847700927,-76.99645850514896,-12.422105100500591,-77.12055665562598,79:55,15.27,36.25
Av. Argentina,Calle Lord Cochrane,Centro de Distribución,Punto de Entrega,-12.311940425571427,-76.89356015416784,-11.857159840022923,-76.94950281385123,44:37,24.02,57.27
Calle Berlín,Calle Las Camelias,Centro de Distribución,Punto de Entrega,-12.00772190643867,-76.91331676896692,-11.735034082932513,-76.87666916825094,82:31,66.24,167.13
Calle Tiziano,Av. Los Quechuas,Punto de Entrega,Centro de Distribución,-11.938119667773597,-76.76000892179547,-12.064216352095457,-76.9152481237741,54:22,15.54,36.54
Av. Guardia Civil,Calle Melchor Paz,Punto de Entrega,Punto de Entrega,-11.777833225588758,-76.75143044389006,-11.79897297645965,-77.00505030640007,6:16,4.49,15.19
Calle Enrique Villar,Av. Elmer Faucett,Punto de Entrega,Punto de Entrega,-11.717851060832528,-76.9100443459942,-12.406538300975244,-77.13967111730382,118:03,63.71,128.96
Calle Francia,Av. San Felipe,Centro de Distribución,Punto de Entrega,-11.811963162447173,-77.2630457944138,-11.931779695071256,-77.23705782997284,101:15,59.56,70.2
Calle Puno,Av. Malecón Checa,Centro de Distribución,Punto de Entrega,-12.354499930803632,-76.83536446075348,-12.01248857670202,-76.89272099455538,18:11,14.41,38.61
Av. Aramburú,Av. Velasco Astete,Centro de Distribución,Punto de Entrega,-12.206048677129372,-76.81446033156953,-12.231510037268377,-76.82416400864753,81:44,14.9,32.81
Calle Chacaltana,Av. Universitaria,Punto de Entrega,Punto de Entrega,-12.056581957174345,-77.02642046286077,-12.026226847572165,-77.00342775497838,11:24,4.2,18.39
Calle José Olaya,Calle Loreto,Centro de Distribución,Punto de Entrega,-11.732690296833233,-76.93759205879253,-12.098409037077788,-76.78374430090082,85:21,42.99,114.98
Calle Augusto Durand,Av. San Germán,Centro de Distribución,Punto de Entrega,-11.717487675997353,-77.16367605351506,-12.327409782749072,-77.08761274638421,14:00,9.86,14.95
Calle Chancay,Calle Conde de la Vega,Centro de Distribución,Punto de Entrega,-12.176393785289108,-77.17144591190964,-12.032272626466138,-77.27119671286314,51:37,18.55,39.6
Calle Miguel Grau,Calle Enrique Villar,Punto de Entrega,Punto de Entrega,-12.225750717569252,-76.78454835592956,-11.84262235937665,-76.78618374411519,28:27,14.65,29.2
Av. San Felipe,Av. Los Frutales,Punto de Entrega,Punto de Entrega,-12.4173145395569,-76.77537804894396,-11.916012932372329,-77.11694298403137,5:46,4.25,14.45
Calle Antonio Raymondi,Av. Víctor Larco Herrera,Centro de Distribución,Punto de Entrega,-11.747978131574317,-77.18360041330011,-12.101810957679897,-76.94049836054741,92:51,32.52,44.61
Calle Huancavelica,Calle Colón,Centro de Distribución,Punto de Entrega,-11.880452301943096,-76.89711736211218,-12.026501603067544,-76.91536785277705,11:56,7.05,14.95
Calle Sánchez Cerro,Av. Parque Sur,Punto de Entrega,Punto de Entrega,-12.153784094527172,-76.71561930800911,-11.941669845966123,-76.9094677420547,12:48,9.82,19.12
Calle José Balta,Calle Flora Tristán,Punto de Entrega,Centro de Distribución,-11.87702556928495,-76.83428695275731,-11.713240720683451,-76.81113062796106,17:00,8.22,17.85
Av. La Paz,Calle Manco Cápac,Centro de Distribución,Punto de Entrega,-11.74920465301804,-76.85042696059074,-12.25096410106515,-77.19524300553316,34:38,10.25,31.31
Av. Paseo de la República,Av. Argentina,Centro de Distribución,Punto de Entrega,-12.438209247610498,-76.83690141958309,-12.199903784091807,-76.75585388700537,78:12,38.06,86.35
Calle Chacaltana,Av. Belén,Centro de Distribución,Punto de Entrega,-12.246510479929688,-76.77035436781651,-12.392108883326376,-76.9022192708554,98:00,16.61,33.86
Av. Separadora Industrial,Calle Los Nogales,Centro de Distribución,Punto de Entrega,-12.235179425762178,-76.75042738159534,-12.133969974856058,-76.76795558251075,66:35,37.19,89.39
Calle Enrique Palacios,Av. Los Frutales,Punto de Entrega,Punto de Entrega,-12.48479433858074,-76.8280366994668,-11.761700322476118,-76.90207616930707,108:51,64.1,128.63
